Sightline,R_dist,Velocity,O_I],Cl_I,C_I,CO,13CO,Ni_II,Kr_I,H_tot,H_2,f_H2,CO/H2,12CO/13CO
HD13841,3.6,-58.555,0.0,12.201,0.0,0.0,0.0,0.0,0.0,0.0,18.277,0.0,0.0,0.0
HD13841,3.6,-52.938,0.0,13.093,0.0,0.0,0.0,0.0,0.0,0.0,19.302,0.0,0.0,0.0
HD13841,3.6,-44.569,0.0,13.067,0.0,0.0,0.0,0.0,0.0,0.0,19.272,0.0,0.0,0.0
HD13841,3.6,-25.375,0.0,12.742,0.0,0.0,0.0,0.0,0.0,0.0,18.899,0.0,0.0,0.0
HD13841,3.6,-18.7,0.0,13.367,0.0,0.0,0.0,0.0,0.0,0.0,19.617,0.0,0.0,0.0
HD13841,3.6,-13.735,0.0,14.443,0.0,14.359,0.0,0.0,0.0,0.0,20.854,0.0,0.0,0.0
HD13841,3.6,-6.2,0.0,13.706,0.0,0.0,0.0,0.0,0.0,0.0,20.007,0.0,0.0,0.0
HD13841,3.6,-2.2,0.0,12.962,0.0,0.0,0.0,0.0,0.0,0.0,19.152,0.0,0.0,0.0
HD23180,6.43,10.794,17.258,13.78,0.0,13.965,0.0,12.579,0.0,20.774,20.092,0.416,0.0,0.0
HD23180,6.43,14.176,17.623,14.235,0.0,14.772,12.804,12.891,0.0,21.139,20.615,0.598,0.0,92.897
HD23478,6.13,10.968,17.43,13.301,0.0,14.87,13.097,12.826,11.895,20.946,19.541,0.079,0.0,59.293
HD23478,6.13,14.636,17.381,13.825,0.0,14.213,0.0,12.864,11.953,20.897,20.144,0.353,0.0,0.0
HD24398,9.1,14.047,17.774,14.423,0.0,15.236,13.184,13.051,0.0,21.29,20.831,0.695,0.0,112.72
HD24534,3.06,12.628,17.441,14.251,15.636,0.0,0.0,12.92,0.0,20.957,20.633,0.948,0.0,0.0
HD24534,3.06,15.314,17.699,13.257,15.218,16.135,14.225,12.964,0.0,21.215,19.491,0.038,0.0,81.283
HD25443,6.4,-11.612,17.843,14.099,0.0,14.223,0.0,13.23,12.403,21.359,20.459,0.252,0.0,0.0
HD25443,6.4,-0.884,17.299,13.595,0.0,14.299,0.0,12.937,11.668,20.815,19.879,0.232,0.0,0.0
HD25443,6.4,4.242,17.539,13.498,0.0,14.309,0.0,13.326,11.983,21.055,19.768,0.103,0.0,0.0
HD43582,3.31,7.28,18.156,14.539,0.0,13.934,0.0,0.0,12.714,21.672,20.964,0.392,0.0,0.0
HD43582,3.31,14.4,17.438,13.728,0.0,13.085,0.0,0.0,12.174,20.954,20.032,0.239,0.0,0.0
HD43582,3.31,20.7,17.248,13.73,0.0,13.15,0.0,0.0,11.822,20.764,20.034,0.372,0.0,0.0
HD62542,1.3,13.768,17.944,14.6,14.666,16.487,14.578,12.566,12.465,21.46,21.034,0.75,0.0,81.096
HD72350,1.56,15.746,0.0,12.436,0.0,0.0,0.0,12.082,0.0,0.0,18.547,0.0,0.0,0.0
HD72350,1.56,20.601,17.342,12.865,14.25,14.355,0.0,12.716,11.833,20.858,19.04,0.03,0.0,0.0
HD72350,1.56,32.477,0.0,12.646,14.31,0.0,0.0,0.0,0.0,0.0,18.789,0.0,0.0,0.0
