Sightline,CO,CO_err,Ref.,CI,CO/CI,Err,
CPD-592603,14.15 , 0.10,1,14.65,0.32,0.08,
HD15137,13.52 , 0.09,3,14.60,0.08,0.02,
HD24534,16.13 , 0.20,1,14.98,14.08,7.25,
HD27778,16.05 , 0.14,1,15.06,9.79,3.35,
HD37903,<13.70,,2,14.22,<0.30,,
HD40893,14.18 , 0.20,2,14.65,0.34,0.16,
HD69106,<13.50,,2,14.27,<0.17,,
HD91824,<13.60,,1,14.47,<0.14,,
HD93205,13.23 , 0.06,1,14.54,0.05,0.01,
HD93222,13.36 , 0.20,1,14.36,0.10,0.05,
HD93843,<12.70,,2,14.13,<0.04,,
HD99857,13.73 , 0.10,2,14.59,0.14,0.04,
HD102065,13.62 , 0.12,1,14.24,0.24,0.07,
HD103779,<12.35,,1,14.21,<0.01,,
HD104705,12.98 , 0.16,1,14.24,0.05,0.02,
HD115071,14.53 , 0.09,3,14.69,0.69,0.16,
HD116852,13.28 , 0.04,1,14.15,0.13,0.02,
HD121968,<12.30,,1,13.36,<0.09,,
HD124314,14.20 , 0.09,3,14.67,0.34,0.08,
HD147888,15.28 , 0.09,3,14.70,3.80,1.17,
HD152590,13.77 , 0.09,3,14.60,0.15,0.03,
HD157857,14.08 , 0.09,3,14.62,0.29,0.07,
HD177989,14.62 , 0.17,1,14.68,0.87,0.35,
HD185418,14.82 , 0.20,1,14.74,1.20,0.57,
HD192639,13.78 , 0.09,3,14.73,0.11,0.03,
HD201345,<12.40,,1,13.93,<0.03,,
HD203374,15.35 , 0.10,2,14.98,2.34,0.60,
HD203532,15.70 , 0.17,1,14.75,8.95,4.07,
HD206267,16.11 , 0.13,1,15.32,6.10,1.96,
HD207198,15.53 , 0.20,1,15.26,1.88,0.89,
HD210839,15.41 , 0.08,1,15.00,2.59,0.56,
HD218915,13.64 , 0.13,1,14.54,0.13,0.04,
HD224151,13.85 , 0.06,2,14.63,0.17,0.03,
HD303308,13.65 , 0.06,1,14.73,0.08,0.02,
