#Title: The Distribution of Thermal Pressures in the Diffuse, Cold Neutral
#       Medium of our Galaxy. II. An Expanded Survey of Interstellar C I
#       Fine-Structure Excitations
#Authors: Jenkins E.B., Tripp T.M.
#Table: Observed and Calculated Quantities in Specific Velocity Channels
#================================================================================
#Byte-by-byte Description of file: apj390295t4_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units    Label     Explanations
#--------------------------------------------------------------------------------
#   1- 11 A11    ---      Name      Target star name
#  13- 17 F5.1   km/s     RVel      Radial Velocity
#  19- 24 F6.3   ---      f1        f1
#  26- 30 F5.3   ---    e_f1        The 1{sigma} error in f1
#  32- 37 F6.3   ---      f2        f2
#  39- 43 F5.3   ---    e_f2        The 1{sigma} error in f2
#  45- 53 E9.2   cm-2     N(CIt)    Column density of C I in all 3 levels
#  55- 63 E9.2   cm-2     N(CII)    ? Inferred column density of C II
#  65- 69 F5.3   ---      g(low)    ? Fraction of C I at low pressure
#  71- 74 F4.2   [cm-3.K] log(p/k)  ? log(p/k) of the low pressure
#                                    fraction
#  76- 80 F5.2   [-]      log(I/I0) ? Log starlight intensity relative
#                                    to standard
Name,Vel,f1,e_f1,f2,e_f2,N(CIt),N(CII),g(low),log(p/k),log(I/I0)
CPD-59D2603,4.0,0.213,0.016,0.068,0.026,2.13e+013,1.34e+016,0.930,3.63,0.37
CPD-59D2603,4.5,0.201,0.013,0.065,0.020,2.81e+013,1.44e+016,0.933,3.60,0.28
CPD-59D2603,5.0,0.200,0.011,0.065,0.017,3.33e+013,1.56e+016,0.934,3.60,0.25
CPD-59D2603,5.5,0.207,0.010,0.065,0.015,3.83e+013,1.76e+016,0.936,3.62,0.26
CPD-59D2603,6.0,0.218,0.009,0.064,0.013,4.46e+013,2.02e+016,0.945,3.67,0.29
CPD-59D2603,6.5,0.224,0.008,0.065,0.011,5.30e+013,2.46e+016,0.944,3.68,0.31
CPD-59D2603,7.0,0.227,0.008,0.066,0.009,6.26e+013,3.03e+016,0.943,3.69,0.33
CPD-59D2603,7.5,0.230,0.008,0.070,0.008,7.17e+013,3.80e+016,0.938,3.70,0.37
CPD-59D2603,8.0,0.233,0.008,0.074,0.007,7.88e+013,4.63e+016,0.931,3.70,0.41
CPD-59D2603,8.5,0.222,0.008,0.079,0.007,8.10e+013,5.13e+016,0.910,3.65,0.40
CPD-59D2603,9.0,0.200,0.007,0.081,0.007,7.65e+013,5.18e+016,0.894,3.56,0.35
CPD-59D2603,9.5,0.181,0.007,0.081,0.009,6.53e+013,4.85e+016,0.885,3.47,0.32
HD102065,8.5,0.188,0.019,0.071,0.016,2.42e+012,5.98e+014,0.908,3.51,0.09
HD102065,9.0,0.241,0.012,0.072,0.010,3.87e+012,6.54e+014,0.934,3.71,0.14
HD102065,9.5,0.275,0.008,0.067,0.006,5.93e+012,7.52e+014,0.966,3.83,0.14
HD102065,11.0,0.223,0.004,0.050,0.003,1.64e+013,1.56e+016,0.973,3.62,0.61
HD102065,11.5,0.203,0.005,0.048,0.002,1.92e+013,1.99e+016,0.967,3.55,0.59
HD102065,12.0,0.187,0.005,0.046,0.002,2.14e+013,2.40e+016,0.964,3.49,0.57
HD102065,12.5,0.176,0.005,0.043,0.002,2.38e+013,2.83e+016,0.965,3.44,0.54
HD102065,13.0,0.177,0.004,0.043,0.002,2.70e+013,3.13e+016,0.965,3.45,0.55
HD102065,13.5,0.187,0.004,0.046,0.002,3.06e+013,3.67e+016,0.967,3.49,0.59
HD102065,14.0,0.204,0.004,0.051,0.002,3.32e+013,4.35e+016,0.964,3.54,0.66
HD102065,16.0,0.318,0.005,0.099,0.003,1.47e+013,2.83e+016,0.925,3.85,1.06
HD102065,16.5,0.315,0.005,0.101,0.004,1.00e+013,1.87e+016,0.918,3.84,1.03
HD102065,17.0,0.298,0.007,0.091,0.006,6.78e+012,1.05e+016,0.931,3.81,0.95
HD102065,17.5,0.281,0.010,0.074,0.008,4.54e+012,3.97e+015,0.954,3.80,0.74
HD102065,18.0,0.270,0.014,0.059,0.012,3.07e+012,2.74e+015,0.983,3.78,0.72
HD102065,18.5,0.273,0.021,0.053,0.018,2.11e+012,2.55e+015,0.998,3.77,0.80
HD102065,19.0,0.283,0.030,0.055,0.026,1.45e+012,2.15e+015,1.000,3.79,0.89
HD103779,-21.0,0.178,0.028,0.047,0.026,5.07e+012,1.03e+016,0.964,3.49,0.61
HD103779,-20.5,0.175,0.021,0.071,0.019,6.69e+012,8.18e+015,0.904,3.46,0.43
HD103779,-20.0,0.233,0.016,0.064,0.015,8.85e+012,3.95e+015,0.954,3.74,0.29
HD103779,-19.5,0.265,0.015,0.048,0.013,1.01e+013,3.98e+015,1.000,3.86,0.33
HD103779,-19.0,0.216,0.015,0.041,0.013,9.98e+012,3.97e+015,0.999,3.71,0.21
