HD,E(B-V),E(15-33),E(33-V)
HD1383,0.52,1.73,0.95
HD13745,0.47,1.64,0.85
HD24760,0.08,0.35,0.05
HD24912,0.32,0.82,0.61
HD28947,0.03,0.50,-0.07
HD30614,0.30,0.88,0.62
HD31237,0.06,0.32,0.10
HD34816,0.02,0.09,0.01
HD34989,0.13,0.22,0.20
HD35149,0.15,0.7,0.28
HD35439,0.06,0.35,0.14
HD35715,0.03,-0.03,-0.12
HD36166,0.04,0.05,-0.02
HD36822,0.14,0.54,0.23
HD37043,0.07,0.39,0.12
HD37061,0.52,0.17,0.29
HD37367,0.40,1.04,0.90
HD37468,0.07,0.24,0.08
HD37903,0.35,0.61,0.52
HD38666,0.02,0.02,-0.01
HD40111,0.13,0.28,0.20
HD40893,0.46,1.54,0.76
HD41161,0.21,0.69,0.43
HD42933,0.05,0.14,0.09
HD43818,0.59,2.04,1.13
HD44506,0.06,0.54,0.16
HD47839,0.07,0.20,0.110
HD52266,0.30,1.02,0.56
HD53138,0.05,0.57,0.12
HD53975,0.21,0.41,0.41
HD54662,0.35,0.97,0.71
HD55879,0.12,0.41,0.23
HD57061,0.13,0.34,0.20
HD63005,0.30,0.90,0.52
HD64740,0.02,0.06,0.01
HD64760,0.08,0.27,0.22
HD65575,0.02,0.14,0.02
HD93205,0.34,0.86,-0.01
HD93222,0.37,0.95,0.44
HD114886,0.40,1.17,0.81
HD122879,0.36,0.61,0.69
HD147888,0.48,0.45,0.77
HD190918,0.41,1.65,0.41
HD192639,0.66,2.01,1.36
HD195965,0.25,0.95,0.45
HD198781,0.35,1.56,0.70
HD210809,0.33,1.31,0.62
